,station,sample,core,cruise,time,year,month,day,hour,x,y,y_adj,temperature,depth,grain_phi,grain_mm,grain_slope,mud_percent,vf_sand_percent,f_sand_percent,m_sand_percent,c_sand_percent,vc_sand_percent,vf_pebbles_percent,f_pebbles_percent,pebbles_percent,tom_proportion,shear_stress,vms_ospar,seq_depth
H11,CLS_50,CLS_50a,a,HE562,T06:05:00,2020,9,28,6,7.05988,55.05749,55.057489,17,34.1968749,2.91963945,132.1602797,3.073536912,4.108714164,37.86545558,54.76866307,2.313369288,0.695430031,0.248367868,0,0,0,0.007440495,0.4917,0.054519459,23092
H12,CLS_50,CLS_50b,b,HE562,T06:05:00,2020,9,28,6,7.05988,55.05749,55.05749,17,34.1968749,2.91963945,132.1602797,3.073536912,4.108714164,37.86545558,54.76866307,2.313369288,0.695430031,0.248367868,0,0,0,0.007440495,0.4917,0.054519459,44682
H13,CLS_50,CLS_50c,c,HE562,T06:05:00,2020,9,28,6,7.05988,55.05749,55.057491,17,34.1968749,2.91963945,132.1602797,3.073536912,4.108714164,37.86545558,54.76866307,2.313369288,0.695430031,0.248367868,0,0,0,0.007440495,0.4917,0.054519459,16530
H14,CLS_54,CLS_54a,a,HE562,T11:53:00,2020,9,28,11,7.09338,55.03267,55.032669,17,32.4598027,2.729468147,150.7815542,3.144151846,4.181488203,20.5154265,69.68421053,4.696914701,0.784029038,0.137931034,0,0,0,0.003430116,0.5162,0.081121331,17959
H15,CLS_54,CLS_54b,b,HE562,T11:53:00,2020,9,28,11,7.09338,55.03267,55.03267,17,32.4598027,2.729468147,150.7815542,3.144151846,4.181488203,20.5154265,69.68421053,4.696914701,0.784029038,0.137931034,0,0,0,0.003430116,0.5162,0.081121331,9412
H16,CLS_54,CLS_54c,c,HE562,T11:53:00,2020,9,28,11,7.09338,55.03267,55.032671,17,32.4598027,2.729468147,150.7815542,3.144151846,4.181488203,20.5154265,69.68421053,4.696914701,0.784029038,0.137931034,0,0,0,0.003430116,0.5162,0.081121331,13576
H17,CLS_55,CLS_55a,a,HE562,T06:25:00,2020,9,29,6,7.23271,54.99352,54.993519,18,30.2599253,2.738921476,149.7967807,3.007667687,2.437210839,26.52015863,65.08592201,4.395241243,1.082286847,0.380039656,0.09914078,0,0,0.005434268,0.5596,0.073975112,4821
H18,CLS_55,CLS_55b,b,HE562,T06:25:00,2020,9,29,6,7.23271,54.99352,54.99352,18,30.2599253,2.738921476,149.7967807,3.007667687,2.437210839,26.52015863,65.08592201,4.395241243,1.082286847,0.380039656,0.09914078,0,0,0.005434268,0.5596,0.073975112,17495
H19,CLS_55,CLS_55c,c,HE562,T06:25:00,2020,9,29,6,7.23271,54.99352,54.993521,18,30.2599253,2.738921476,149.7967807,3.007667687,2.437210839,26.52015863,65.08592201,4.395241243,1.082286847,0.380039656,0.09914078,0,0,0.005434268,0.5596,0.073975112,11483
H20,CLS_67,CLS_67a,a,HE562,T09:04:00,2020,9,28,9,7.06618,55.04348,55.043479,19,33.59938832,2.715893766,152.2069598,3.342648517,0.882738197,25.51398143,69.01304174,3.172162424,0.871348027,0.41004613,0.136682043,0,0,0.007799346,0.4945,0.077678443,3777
H21,CLS_67,CLS_67c,c,HE562,T09:04:00,2020,9,28,9,7.06618,55.04348,55.043481,19,33.59938832,2.715893766,152.2069598,3.342648517,0.882738197,25.51398143,69.01304174,3.172162424,0.871348027,0.41004613,0.136682043,0,0,0.007799346,0.4945,0.077678443,20486
H22,CLS_72,CLS_72a,a,HE562,T18:40:00,2020,9,29,18,7.99949,55.08513,55.085129,16,17.12701907,2.389704293,190.8215094,2.793080416,0.196474683,14.34826541,64.07320085,18.08689795,2.593465813,0.550129112,0.151566184,0,0,0.002640107,0.4322,0.443762236,15957
H23,CLS_72,CLS_72c,c,HE562,T18:40:00,2020,9,29,18,7.99949,55.08513,55.085131,16,17.12701907,2.389704293,190.8215094,2.793080416,0.196474683,14.34826541,64.07320085,18.08689795,2.593465813,0.550129112,0.151566184,0,0,0.002640107,0.4322,0.443762236,19079
H24,CLS_73,CLS_73a,a,HE562,T06:51:00,2020,9,29,6,7.25531,55.00572,55.005719,18,31.16877101,2.887857957,135.1039765,3.443131318,2.378765614,36.96730345,57.76083762,2.222630419,0.54188097,0.110213079,0.018368846,0,0,0.00485685,0.5696,0.064442347,13196
H26,CLS_73,CLS_73c,c,HE562,T06:51:00,2020,9,29,6,7.25531,55.00572,55.005721,18,31.16877101,2.887857957,135.1039765,3.443131318,2.378765614,36.96730345,57.76083762,2.222630419,0.54188097,0.110213079,0.018368846,0,0,0.00485685,0.5696,0.064442347,23691
H27,CLS_74,CLS_74a,a,HE562,T11:00:00,2020,9,28,11,7.14481,55.05351,55.053509,18,33.9183851,2.783519755,145.23693,2.339531441,1.476419472,38.11693242,53.34514469,3.906184088,1.543912933,0.548384375,1.06302202,0,0,0.009443144,0.5462,0.047940294,3185
H28,CLS_74,CLS_74b,b,HE562,T11:00:00,2020,9,28,11,7.14481,55.05351,55.05351,18,33.9183851,2.783519755,145.23693,2.339531441,1.476419472,38.11693242,53.34514469,3.906184088,1.543912933,0.548384375,1.06302202,0,0,0.009443144,0.5462,0.047940294,15681
H29,CLS_74,CLS_74c,c,HE562,T11:00:00,2020,9,28,11,7.14481,55.05351,55.053511,18,33.9183851,2.783519755,145.23693,2.339531441,1.476419472,38.11693242,53.34514469,3.906184088,1.543912933,0.548384375,1.06302202,0,0,0.009443144,0.5462,0.047940294,22111
H30,SAR524,SAR524a,a,HE562,T06:23:00,2020,9,30,6,7.90403,54.91506,54.915059,18,17.33303319,1.900508281,267.8489822,3.237203145,0.409602913,1.371031972,40.15246331,54.60803277,2.594151781,0.625782228,0.216179315,0.022755717,0,0.002860078,0.4934,0.556668104,14310
H31,SAR524,SAR524b,b,HE562,T06:23:00,2020,9,30,6,7.90403,54.91506,54.91506,18,17.33303319,1.900508281,267.8489822,3.237203145,0.409602913,1.371031972,40.15246331,54.60803277,2.594151781,0.625782228,0.216179315,0.022755717,0,0.002860078,0.4934,0.556668104,10570
H32,SAR524,SAR524c,c,HE562,T06:23:00,2020,9,30,6,7.90403,54.91506,54.915061,18,17.33303319,1.900508281,267.8489822,3.237203145,0.409602913,1.371031972,40.15246331,54.60803277,2.594151781,0.625782228,0.216179315,0.022755717,0,0.002860078,0.4934,0.556668104,7315
H34,SAR13,SAR13a,a,HE562,T08:53:00,2020,9,25,8,7.07346,54.76532,54.765319,17,34.18945882,2.219023758,214.7866517,2.184466251,0.938041178,8.004618049,64.36886665,19.65557052,4.464113912,1.428708871,0.630171253,0.509909563,0,0.005451393,0.5808,0.015984182,23586
H36,SAR13,SAR13c,c,HE562,T08:53:00,2020,9,25,8,7.07346,54.76532,54.765321,17,34.18945882,2.219023758,214.7866517,2.184466251,0.938041178,8.004618049,64.36886665,19.65557052,4.464113912,1.428708871,0.630171253,0.509909563,0,0.005451393,0.5808,0.015984182,22557
H37,SAR_EM_03,SAR_EM_03a,a,HE562,T13:12:00,2020,9,23,13,7.14282,54.78324,54.783239,20,27.27167485,-1.293342131,2450.95183,2.668769914,0.220800975,0.433988122,0.243642455,0.243642455,1.096391046,20.93040962,68.98888381,7.827013857,0.015227653,0.011677418,0.5976,0.080682433,36126
H39,SAR_EM_03,SAR_EM_03c,c,HE562,T13:12:00,2020,9,23,13,7.14282,54.78324,54.783241,20,27.27167485,-1.293342131,2450.95183,2.668769914,0.220800975,0.433988122,0.243642455,0.243642455,1.096391046,20.93040962,68.98888381,7.827013857,0.015227653,0.011677418,0.5976,0.080682433,20741
H40,SAR_EM_62,SAR_EM_62a,a,HE562,T14:55:00,2020,9,27,14,6.86891,54.90914,54.909139,18,33.1078198,-0.034922474,1024.501768,1.539690749,0.800457404,0.095292548,5.526967791,14.61787688,9.767486183,61.34934248,4.021345531,2.29655041,1.52468077,0.003549779,0.4644,0.130810441,3211
H42,SAR_EM_62,SAR_EM_62c,c,HE562,T14:55:00,2020,9,27,14,6.86891,54.90914,54.909141,18,33.1078198,-0.034922474,1024.501768,1.539690749,0.800457404,0.095292548,5.526967791,14.61787688,9.767486183,61.34934248,4.021345531,2.29655041,1.52468077,0.003549779,0.4644,0.130810441,15059
H43,SAR_EM_72,SAR_EM_72a,a,HE562,T14:49:00,2020,9,26,14,6.92629,54.84859,54.848589,17,32.38243922,-0.67066379,1591.805196,0.885930647,1.093781649,1.164674904,7.145027345,17.92080211,3.362365809,22.18958882,25.07595706,11.52015394,10.52764837,0.010499103,0.5413,0.137020306,30356
H45,SAR_EM_72,SAR_EM_72c,c,HE562,T14:49:00,2020,9,26,14,6.92629,54.84859,54.848591,17,32.38243922,-0.67066379,1591.805196,0.885930647,1.093781649,1.164674904,7.145027345,17.92080211,3.362365809,22.18958882,25.07595706,11.52015394,10.52764837,0.010499103,0.5413,0.137020306,14305
H46,SAR_EM_73,SAR_EM_73a,a,HE562,T07:45:00,2020,9,25,7,7.12019,54.77423,54.774229,18,28.9250563,-1.059230621,2083.819939,1.787185826,0.289174804,0.913624743,0.9303885,2.271489041,3.742508696,31.30212481,50.43795315,9.295503122,0.817233142,0.006267334,0.5929,0.034673766,6590
H48,SAR_EM_73,SAR_EM_73c,c,HE562,T07:45:00,2020,9,25,7,7.12019,54.77423,54.774231,18,28.9250563,-1.059230621,2083.819939,1.787185826,0.289174804,0.913624743,0.9303885,2.271489041,3.742508696,31.30212481,50.43795315,9.295503122,0.817233142,0.006267334,0.5929,0.034673766,19706
H49,SAR_EM_74,SAR_EM_74a,a,HE562,T16:23:00,2020,9,23,16,7.13614,54.78013,54.780129,18,27.50924825,-1.448305986,2728.874384,2.168702501,0.517297123,0.247871538,0.247871538,0.204763444,0.797499731,18.81668283,59.71548658,18.13773036,1.314796853,0.011969832,0.5957,0.049907471,9283
H51,SAR_EM_74,SAR_EM_74c,c,HE562,T16:23:00,2020,9,23,16,7.13614,54.78013,54.780131,18,27.50924825,-1.448305986,2728.874384,2.168702501,0.517297123,0.247871538,0.247871538,0.204763444,0.797499731,18.81668283,59.71548658,18.13773036,1.314796853,0.011969832,0.5957,0.049907471,13889
